Proteome_ID	Tax_ID	Species_Name
UP000182719	41	Stigmatella aurantiaca
UP000067626	52	Chondromyces crocatus
UP000199729	63	Vitreoscilla filiformis
UP000061569	69	Lysobacter enzymogenes
UP000636790	78	Caulobacter sp.
UP000658935	82	Hyphomicrobium sp.
UP000587760	150	Spirochaeta isovalerica
UP000042527	162	Treponema phagedenis
UP000544872	189	Novispirillum itersonii (Aquaspirillum itersonii)
UP000092701	211	Helicobacter sp. CLO-3
UP000316154	239	Flavobacterium sp.
UP000319812	252	Halomonas halmophila
UP000255024	256	Myroides odoratus (Flavobacterium odoratum)
UP000262004	297	Hydrogenophilus thermoluteolus (Pseudomonas hydrogenothermophila)
UP000032414	451	Legionella micdadei (Tatlockia micdadei)
UP000054877	452	Legionella spiritensis
UP000055035	456	Legionella jordanis
UP000279284	493	Neisseria canis
UP000186308	526	Acidiphilium rubrum
UP000254077	545	Citrobacter koseri (Citrobacter diversus)
UP000401081	580	Kluyvera cryocrescens (Kluyvera citrophila)
UP000001006	623	Shigella flexneri
UP000000815	632	Yersinia pestis
UP000037515	693	Vibrio nereis
UP000254329	733	Canicola haemoglobinophilus
UP000624429	789	Rickettsia sp.
UP000255328	858	Fusobacterium necrogenes
UP000243745	867	Ruminobacter amylophilus
UP000002194	882	Desulfovibrio vulgaris (strain ATCC 29579 / DSM 644 / NCIMB 8303 / VKM B-1760 / Hildenborough)
UP000510829	924	Thiobacillus sp.
UP000500930	949	Anaplasma platys
UP000075320	959	Bdellovibrio bacteriovorus
UP000235584	960	Bacteriovorax stolpii (Bdellovibrio stolpii)
UP000252733	989	Marinilabilia salmonicolor
UP000249239	990	Breznakibacter xylanolyticus
UP000199513	1003	Thermoflexibacter ruber
UP000587070	1066	Rhodocyclus tenuis (Rhodospirillum tenue)
UP000198418	1074	Rhodoblastus acidophilus (Rhodopseudomonas acidophila)
UP000065734	1079	Blastochloris viridis (Rhodopseudomonas viridis)
UP000182983	1082	Magnetospirillum fulvum (Rhodospirillum fulvum)
UP000317986	1095	Chlorobium sp.
UP000078263	1112	Erythrobacter neustonensis
UP000889800	1140	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)
UP000032761	1188	(new) Tolypothrix sp. PCC 7601
UP000295681	1251	Leuconostoc fallax
UP000240371	1286	Staphylococcus simulans
UP000255523	1323	Faecalicoccus pleomorphus
UP000254924	1337	Streptococcus hyointestinalis
UP000000594	1392	Bacillus anthracis
UP000036045	1397	Niallia circulans (Bacillus circulans)
UP000595254	1407	Peribacillus psychrosaccharolyticus (Bacillus psychrosaccharolyticus)
UP000237319	1421	Lysinibacillus sphaericus (Bacillus sphaericus)
UP000248646	1461	Psychrobacillus insolitus
UP000308489	1498	Hathewaya histolytica (Clostridium histolyticum)
UP000037267	1503	Gottschalkia purinilytica (Clostridium purinilyticum)
UP000199820	1526	[Clostridium] aminophilum
UP000198806	1527	Anaerocolumna aminovalerica
UP000184035	1533	Clostridium fallax
UP000077407	1538	Clostridium ljungdahlii
UP000245845	1544	Faecalicatena orotica
UP000563151	1553	Clostridium tetanomorphum
UP000051992	1629	Weissella viridescens (Lactobacillus viridescens)
UP000076947	1705	Corynebacterium stationis
UP000562124	1708	Cellulomonas fimi
UP000221653	1724	Corynebacterium renale
UP000277858	1749	Acidipropionibacterium jensenii
UP000057134	1766	Mycolicibacterium fortuitum (Mycobacterium fortuitum)
UP000279306	1791	Mycolicibacterium aurum (Mycobacterium aurum)
UP000193484	1793	Mycolicibacterium fallax (Mycobacterium fallax)
UP000193090	1798	Mycolicibacillus trivialis
UP000036176	1800	Mycolicibacterium chubuense (Mycobacterium chubuense)
UP000660680	1816	Actinokineospora fastidiosa
UP000076038	1828	Rhodococcus fascians
UP000578112	1868	Actinoplanes digitatis
UP000247634	1885	Streptomyces actuosus
UP000037395	1894	Kitasatospora aureofaciens (Streptomyces aureofaciens)
UP000319210	1898	Streptomyces cacaoi
UP000002357	1901	Streptomyces clavuligerus
UP000629222	1931	Streptomyces sp.
UP000419138	1945	Streptomyces jumonjinensis
UP000292452	1946	Streptomyces kasugaensis
UP000619486	1951	Streptomyces purpureus
UP000657574	1954	Streptomyces brasiliensis
UP000217446	1963	(new) Streptomyces olivochromogenes
UP000587462	1970	Streptomyces morookaense (Streptoverticillium morookaense)
UP000236047	1971	Streptomyces noursei (Streptomyces albulus)
UP000236723	1992	Thermomonospora echinospora
UP000183413	1993	Actinomadura madurae
UP000562352	1999	(new) Planomonospora venezuelensis
UP000067689	2041	Aeromicrobium erythreum
UP000219947	2047	Rothia dentocariosa
UP000282084	2072	Saccharothrix australiensis
UP000289440	2120	Mesomycoplasma neurolyticum
UP000231179	2139	Spiroplasma clarkii
UP000553343	2292	Desulfobacter latus
UP000053352	2309	Pyrodictium occultum
UP000027120	2711	Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis)
UP000198995	2741	Peptococcus niger
UP000243591	2756	Brochothrix thermosphacta (Microbacterium thermosphactum)
UP000012073	2769	Chondrus crispus (Carrageen Irish moss) (Polymorpha crispa)
UP000218209	2786	Porphyra umbilicalis (Purple laver) (Red alga)
UP000013827	2903	Emiliania huxleyi (Coccolithophore) (Pontosphaera huxleyi)
UP000001058	3068	Volvox carteri f. nagariensis
UP000028924	3075	Auxenochlorella protothecoides (Green microalga) (Chlorella protothecoides)
UP001055712	3077	Chlorella vulgaris (Green alga)
UP000256970	3088	Tetradesmus obliquus (Green alga) (Acutodesmus obliquus)
UP000006727	3218	Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)
UP000237105	3476	Parasponia andersonii (Sponia andersonii)
UP001155700	3562	Spinacia oleracea (Spinach)
UP000239757	3634	Gossypium barbadense (Sea-island cotton) (Egyptian cotton)
UP000189702	3635	Gossypium hirsutum (Upland cotton) (Gossypium mexicanum)
UP000026915	3641	Theobroma cacao (Cacao) (Cocoa)
UP000807159	3696	Populus deltoides (Eastern poplar) (Eastern cottonwood)
UP000006548	3702	Arabidopsis thaliana (Mouse-ear cress)
UP000504610	3726	Raphanus sativus (Radish) (Raphanus raphanistrum var. sativus)
UP000187406	3775	Cephalotus follicularis (Albany pitcher plant)
UP000694853	3816	Abrus precatorius (Indian licorice) (Glycine abrus)
UP000008827	3847	Glycine max (Soybean) (Glycine hispida)
UP000289340	3848	Glycine soja (Wild soybean)
UP000447434	3870	(new) Lupinus albus (White lupine) (Lupinus termis)
UP000002051	3880	Medicago truncatula (Barrel medic) (Medicago tribuloides)
UP000242715	3900	Trifolium subterraneum (Subterranean clover)
UP000053144	3914	Phaseolus angularis (Azuki bean) (Vigna angularis)
UP000087766	3916	Vigna radiata var. radiata (Mung bean) (Phaseolus aureus)
UP000467840	3981	Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)
UP000091857	3983	Manihot esculenta (Cassava) (Jatropha manihot)
UP000008311	3988	Ricinus communis (Castor bean)
UP000593563	4045	Apium graveolens (Celery)
UP000004994	4081	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
UP000189701	4096	Nicotiana sylvestris (Wood tobacco) (South American tobacco)
UP000084051	4097	Nicotiana tabacum (Common tobacco)
UP000325081	4170	Striga asiatica (Asiatic witchweed) (Buchnera asiatica)
UP000006591	4536	Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea)
UP000298652	4556	Setaria viridis (Green bristlegrass) (Setaria italica subsp. viridis)
UP000019116	4565	Triticum aestivum (Wheat)
UP000015106	4572	Triticum urartu (Red wild einkorn) (Crithodium urartu)
UP000007305	4577	Zea mays (Maize)
UP000288739	4639	Ensete ventricosum (Abyssinian banana) (Musa ensete)
UP000243459	4686	Asparagus officinalis (Garden asparagus)
UP000294530	4779	Bremia lactucae (Lettuce downy mildew)
UP000602510	4787	Phytophthora infestans (Potato late blight agent) (Botrytis infestans)
UP000052943	4790	Phytophthora nicotianae (Buckeye rot agent)
UP000198211	4795	Phytophthora megakarya
UP000186136	4926	Pichia membranifaciens
UP000190831	4955	Lachancea fermentati (Zygosaccharomyces fermentati)
UP000193218	4999	Kockovaella imperatae
UP000070168	5078	Penicillium patulum (Penicillium griseofulvum)
UP000319663	5098	Monascus purpureus (Red mold) (Monascus anka)
UP000199069	5286	Rhodotorula toruloides (Yeast) (Rhodosporidium toruloides)
UP000305948	5364	Heliocybe sulcata
UP000473826	5417	Vanrija humicola
UP000449547	5481	Diutina rugosa (Yeast) (Candida rugosa)
UP000756132	5499	(new) Passalora fulva (Tomato leaf mold) (Cladosporium fulvum)
UP000266152	5514	Fusarium sporotrichioides
UP000746612	5518	(new) Gibberella zeae (Wheat head blight fungus) (Fusarium graminearum)
UP000258309	5539	Scytalidium lignicola (Hyphomycete)
UP000034112	5544	Trichoderma harzianum (Hypocrea lixii)
UP000243015	5551	Trichophyton rubrum (Athlete's foot fungus) (Epidermophyton rubrum)
UP000077248	5599	Alternaria alternata (Alternaria rot fungus) (Torula alternata)
UP000092993	5627	Grifola frondosa (Maitake) (Polyporus frondosus)
UP000029665	5643	Pycnoporus cinnabarinus (Cinnabar-red polypore) (Trametes cinnabarina)
UP000000542	5664	Leishmania major
UP000008153	5671	Leishmania infantum
UP000283634	5698	Trypanosoma rangeli
UP000315496	5742	Giardia muris
UP000444721	5763	Naegleria fowleri (Brain eating amoeba)
UP000001064	5786	Dictyostelium purpureum (Slime mold)
UP000002437	5811	Toxoplasma gondii
UP000074855	5823	Plasmodium berghei (strain Anka)
UP000030694	5835	Plasmodium falciparum (isolate Camp / Malaysia)
UP000031513	5851	Plasmodium knowlesi (strain H)
UP000219813	5858	Plasmodium malariae
UP000002173	5865	Babesia bovis
UP000688137	5886	Paramecium primaurelia
UP000187209	5963	Stentor coeruleus
UP000785679	5974	Halteria grandinella
UP000694840	6087	Hydra vulgaris (Hydra) (Hydra attenuata)
UP000515163	6105	Actinia tenebrosa (Australian red waratah sea anemone)
UP000008854	6183	Schistosoma mansoni (Blood fluke)
UP000290809	6184	Schistosoma bovis (Blood fluke)
UP000471633	6185	Schistosoma haematobium (Blood fluke)
UP000279833	6186	Schistosoma curassoni
UP000019149	6210	Echinococcus granulosus (Hydatid tapeworm)
UP000001940	6239	Caenorhabditis elegans
UP000887569	6257	Parascaris univalens (Nematode worm)
UP000267096	6269	Anisakis simplex (Herring worm)
UP000276991	6277	Acanthocheilonema viteae (Filarial nematode worm) (Dipetalonema viteae)
UP000006672	6279	Brugia malayi (Filarial nematode worm)
UP000278627	6280	Brugia pahangi (Filarial nematode worm)
UP000270924	6293	Wuchereria bancrofti
UP000887563	6306	Meloidogyne incognita (Southern root-knot nematode)
UP000035642	6313	Angiostrongylus cantonensis (Rat lungworm)
UP000054721	6335	Trichinella nativa
UP000054630	6336	Trichinella nelsoni
UP000749559	6347	Owenia fusiformis (Polychaete worm)
UP000015101	6412	Helobdella robusta (Californian leech)
UP000283509	6689	Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei)
UP000747542	6706	Homarus americanus (American lobster)
UP000318571	6832	Tigriopus californicus (Marine copepod)
UP000821866	6941	Rhipicephalus microplus (Cattle tick) (Boophilus microplus)
UP000001555	6945	Ixodes scapularis (Black-legged tick) (Deer tick)
UP000194236	6958	Euroglyphus maynei (Mayne's house dust mite)
UP000007819	7029	Acyrthosiphon pisum (Pea aphid)
UP000504635	7048	Sitophilus oryzae (Rice weevil) (Curculio oryzae)
UP000327044	7054	Photinus pyralis (Common eastern firefly) (Lampyris pyralis)
UP000719412	7067	Tenebrio molitor (Yellow mealworm beetle)
UP001153321	7109	(new) Spodoptera littoralis (Egyptian cotton leafworm)
UP000322000	7111	Trichoplusia ni (Cabbage looper)
UP000791440	7130	Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)
UP000008820	7159	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)
UP000249989	7160	Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)
UP000002320	7176	Culex quinquefasciatus (Southern house mosquito) (Culex pungens)
UP000606786	7213	Ceratitis capitata (Mediterranean fruit fly) (Tephritis capitata)
UP000007801	7217	Drosophila ananassae (Fruit fly)
UP000504634	7225	Drosophila lebanonensis (Fruit fly) (Scaptodrosophila lebanonensis)
UP000000803	7227	Drosophila melanogaster (Fruit fly)
UP000008744	7234	Drosophila persimilis (Fruit fly)
UP000001292	7238	Drosophila sechellia (Fruit fly)
UP000007798	7260	Drosophila willistoni (Fruit fly)
UP000515160	7291	Drosophila albomicans (Fruit fly)
UP000037069	7375	Lucilia cuprina (Green bottle fly) (Australian sheep blowfly)
UP000002358	7425	Nasonia vitripennis (Parasitic wasp)
UP000614350	7454	Vespula vulgaris (Yellow jacket) (Wasp)
UP000085678	7574	Lingula unguis
UP000007110	7668	Strongylocentrotus purpuratus (Purple sea urchin)
UP000838412	7740	Branchiostoma lanceolatum (Common lancelet) (Amphioxus lanceolatum)
UP000694388	7764	Eptatretus burgeri (Inshore hagfish)
