Bait,Preys,PreyGene
nsp1,P09884,POLA1
nsp1,P49642,PRIM1
nsp1,P49643,PRIM2
nsp1,Q14181,POLA2
nsp1,Q8NBJ5,COLGALT1
nsp1,Q99959,PKP2
E,O00203,AP3B1
E,O60885,BRD4
E,P25440,BRD2
E,Q6UX04,CWC27
E,Q86VM9,ZC3H18
E,Q8IWA5,SLC44A2
M,O75439,PMPCB
M,O95070,YIF1A
M,P05026,ATP1B1
M,P11310,ACADM
M,P13804,ETFA
M,P27105,STOM
M,P38435,GGCX
M,P38606,ATP6V1A
M,P48556,PSMD8
M,Q00765,REEP5
M,Q10713,PMPCA
M,Q4KMQ2,ANO6
M,Q5JRX3,PITRM1
M,Q6PML9,SLC30A9
M,Q7L8L6,FASTKD5
M,Q8NEW0,SLC30A7
M,Q96CW5,TUBGCP3
M,Q96D53,COQ8B
M,Q96ER3,SAAL1
M,Q96HR9,REEP6
M,Q96HW7,INTS4
M,Q9BQT8,SLC25A21
M,Q9BSJ2,TUBGCP2
M,Q9BW92,TARS2
M,Q9NQC3,RTN4
M,Q9UBU6,FAM8A1
M,Q9UDR5,AASS
M,Q9ULX6,AKAP8L
M,Q9Y312,AAR2
M,Q9Y6E2,BZW2
N,O43818,RRP9
N,P11940,PABPC1
N,P19784,CSNK2A2
N,P67870,CSNK2B
N,Q13283,G3BP1
N,Q13310,PABPC4
N,Q6PKG0,LARP1
N,Q8NCA5,FAM98A
N,Q8TAD8,SNIP1
N,Q92900,UPF1
N,Q9HCE1,MOV10
N,Q9UN86,G3BP2
N,Q9NR30,DDX21
N,Q9NW13,RBM28
N,Q9Y3U8,RPL36
Spike,Q7Z5G4,GOLGA7
Spike,Q9C0B5,ZDHHC5
nsp10,O94973,AP2A2
nsp10,P55789,GFER
nsp10,Q969X5,ERGIC1
nsp10,Q96CW1,AP2M1
nsp10,Q9HAV7,GRPEL1
nsp11,O75347,TBCA
nsp12,A3KN83,SBNO1
nsp12,O14874,BCKDK
nsp12,O43823,AKAP8
nsp12,O75592,MYCBP2
nsp12,O95391,SLU7
nsp12,Q13546,RIPK1
nsp12,Q14157,UBAP2L
nsp12,Q2T9J0,TYSND1
nsp12,Q5EBL8,PDZD11
nsp12,Q5JSZ5,PRRC2B
nsp12,Q5T6F2,UBAP2
nsp12,Q5VUA4,ZNF318
nsp12,Q6UUV7,CRTC3
nsp12,Q70EL1,USP54
nsp12,Q8IWR0,ZC3H7A
nsp12,Q92615,LARP4B
nsp12,Q96IZ5,RBM41
nsp12,Q99081,TCF12
nsp12,Q9H2H8,PPIL3
nsp12,Q9HAU0,PLEKHA5
nsp13,A7MCY6,TBKBP1
nsp13,O14578,CIT
nsp13,O75506,HSBP1
nsp13,O95613,PCNT
nsp13,O95684,CEP43
nsp13,P13861,PRKAR2A
nsp13,P17612,PRKACA
nsp13,P31323,PRKAR2B
nsp13,P35241,RDX
nsp13,P49454,CENPF
nsp13,Q04724,TLE1
nsp13,Q04726,TLE3
nsp13,Q08117,TLE5
nsp13,Q08378,GOLGA3
nsp13,Q08379,GOLGA2
nsp13,Q14789,GOLGB1
nsp13,Q4V328,GRIPAP1
nsp13,Q5VT06,CEP350
nsp13,Q5VU43,PDE4DIP
nsp13,Q66GS9,CEP135
nsp13,Q76N32,CEP68
nsp13,Q7Z7A1,CNTRL
nsp13,Q8IUD2,ERC1
nsp13,Q8IWJ2,GCC2
nsp13,Q8N3C7,CLIP4
nsp13,Q8N4C6,NIN
nsp13,Q8N8E3,CEP112
nsp13,Q8TD10,MIPOL1
nsp13,Q92995,USP13
nsp13,Q96CN9,GCC1
nsp13,Q96N16,JAKMIP1
nsp13,Q96SN8,CDK5RAP2
nsp13,Q99996,AKAP9
nsp13,Q9BQQ3,GORASP1
nsp13,Q9BQS8,FYCO1
nsp13,Q9BV19,C1orf50
nsp13,Q9BV73,CEP250
nsp13,Q9UHD2,TBK1
nsp13,Q9UJC3,HOOK1
nsp13,Q9Y2I6,NINL
nsp14,P06280,GLA
nsp14,P12268,IMPDH2
nsp14,Q9NXA8,SIRT5
nsp15,P61970,NUTF2
nsp15_C145A,P62330,ARF6
nsp15_C145A,Q9H4P4,RNF41
