query_id,subject_id,perc_identity,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
tr|A0A167VDT2|A0A167VDT2_CHICK,sp|Q9H3D4|P63_HUMAN,94.706,680,36,0,1,680,1,680,0,1313
tr|A0A1D5NTJ0|A0A1D5NTJ0_CHICK,sp|Q9NPG1|FZD3_HUMAN,94.294,666,38,0,1,666,1,666,0,1323
tr|A0A1D5NTY9|A0A1D5NTY9_CHICK,sp|Q9Y243|AKT3_HUMAN,99.582,479,2,0,1,479,1,479,0,999
tr|A0A1D5NW85|A0A1D5NW85_CHICK,sp|Q6UWW0|LCN15_HUMAN,28.249,177,124,2,1,174,1,177,8.35e-20,81.6
tr|A0A1D5NWT4|A0A1D5NWT4_CHICK,sp|P51812|KS6A3_HUMAN,96.761,741,22,2,1,740,1,740,0,1493
tr|A0A1D5NXF3|A0A1D5NXF3_CHICK,sp|O15119|TBX3_HUMAN,76.893,766,120,16,1,732,1,743,0,1045
sp|A0A1D5NY17|TM182_CHICK,sp|Q6ZP80|TM182_HUMAN,72.294,231,61,1,1,231,1,228,4.66e-124,350
tr|A0A1D5NYE8|A0A1D5NYE8_CHICK,sp|P35222|CTNB1_HUMAN,99.744,781,2,0,1,781,1,781,0,1613
tr|A0A1D5NYK7|A0A1D5NYK7_CHICK,sp|P26038|MOES_HUMAN,93.966,580,32,2,1,580,1,577,0,1070
tr|A0A1D5NYR5|A0A1D5NYR5_CHICK,sp|P43354|NR4A2_HUMAN,94.816,598,31,0,8,605,1,598,0,1098
tr|A0A1D5NZL7|A0A1D5NZL7_CHICK,sp|Q9NQ66|PLCB1_HUMAN,91.947,1217,95,3,1,1217,1,1214,0,2184
tr|A0A1D5NZW4|A0A1D5NZW4_CHICK,sp|O14494|PLPP1_HUMAN,74.737,285,70,2,1,284,1,284,1.64e-155,434
tr|A0A1D5P088|A0A1D5P088_CHICK,sp|P10275|ANDR_HUMAN,58.742,795,189,23,40,703,134,920,0,792
tr|A0A1D5P088|A0A1D5P088_CHICK,sp|P10275|ANDR_HUMAN,70.27,37,11,0,1,37,1,37,2.09e-09,60.8
tr|A0A1D5P1G4|A0A1D5P1G4_CHICK,sp|Q01851|PO4F1_HUMAN,83.333,420,38,4,1,389,1,419,0,568
tr|A0A1D5P1S6|A0A1D5P1S6_CHICK,sp|Q99697|PITX2_HUMAN,96.923,260,8,0,74,333,58,317,0,525
tr|A0A1D5P2P1|A0A1D5P2P1_CHICK,sp|P48745|CCN3_HUMAN,71.517,323,90,1,31,351,35,357,3.58e-175,490
tr|A0A1D5P395|A0A1D5P395_CHICK,sp|O15169|AXIN1_HUMAN,70.582,877,207,7,1,841,1,862,0,1229
tr|A0A1D5P3N0|A0A1D5P3N0_CHICK,sp|Q5D1E8|ZC12A_HUMAN,56.452,620,195,15,72,679,41,597,0,600
tr|A0A1D5P4G9|A0A1D5P4G9_CHICK,sp|P50553|ASCL1_HUMAN,90.751,173,15,1,48,219,64,236,1.34e-102,296
tr|A0A1D5P8D7|A0A1D5P8D7_CHICK,sp|Q99835|SMO_HUMAN,75.523,813,144,7,5,816,29,787,0,1198
tr|A0A1D5PB14|A0A1D5PB14_CHICK,sp|O43541|SMAD6_HUMAN,78.215,381,78,4,54,431,118,496,0,583
tr|A0A1D5PB14|A0A1D5PB14_CHICK,sp|O43541|SMAD6_HUMAN,90.909,22,2,0,1,22,1,22,2.7e-05,46.2
tr|A0A1D5PC88|A0A1D5PC88_CHICK,sp|P25054|APC_HUMAN,84.403,2866,411,16,1,2853,1,2843,0,4589
tr|A0A1D5PCG4|A0A1D5PCG4_CHICK,sp|Q9H2B2|SYT4_HUMAN,88,425,51,0,1,425,1,425,0,768
tr|A0A1D5PHB6|A0A1D5PHB6_CHICK,sp|Q9H2U1|DHX36_HUMAN,81.837,947,163,3,45,982,57,1003,0,1629
tr|A0A1D5PIQ5|A0A1D5PIQ5_CHICK,sp|Q16539|MK14_HUMAN,96.389,360,13,0,1,360,1,360,0,730
tr|A0A1D5PJQ2|A0A1D5PJQ2_CHICK,sp|Q07869|PPARA_HUMAN,89.103,468,51,0,1,468,1,468,0,877
tr|A0A1D5PJX0|A0A1D5PJX0_CHICK,sp|P23634|AT2B4_HUMAN,79.567,1248,208,7,1,1208,1,1241,0,1976
tr|A0A1D5PLJ8|A0A1D5PLJ8_CHICK,sp|P20807|CAN3_HUMAN,77.832,821,171,4,1,810,1,821,0,1337
tr|A0A1D5PLN4|A0A1D5PLN4_CHICK,sp|Q13501|SQSTM_HUMAN,58.351,473,144,8,1,453,1,440,1.85e-174,496
tr|A0A1D5PM19|A0A1D5PM19_CHICK,sp|P35579|MYH9_HUMAN,93.01,1960,137,0,1,1960,1,1960,0,3601
tr|A0A1D5PM27|A0A1D5PM27_CHICK,sp|O60313|OPA1_HUMAN,82.66,1015,120,3,1,1014,1,960,0,1723
tr|A0A1D5PMQ7|A0A1D5PMQ7_CHICK,sp|Q8N2I9|STK40_HUMAN,90.115,435,43,0,1,435,1,435,0,829
tr|A0A1D5PNE8|A0A1D5PNE8_CHICK,sp|P40145|ADCY8_HUMAN,89.705,1253,114,4,1,1240,1,1251,0,2214
tr|A0A1D5PP00|A0A1D5PP00_CHICK,sp|P11831|SRF_HUMAN,82.03,473,61,3,34,492,46,508,0,683
sp|A0A1D5PPP7|CASP6_CHICK,sp|P55212|CASP6_HUMAN,71.786,280,78,1,25,303,13,292,1.02e-155,436
tr|A0A1D5PRD7|A0A1D5PRD7_CHICK,sp|P04150|GCR_HUMAN,74.487,780,188,7,1,772,1,777,0,1182
tr|A0A1D5PRL4|A0A1D5PRL4_CHICK,sp|O60481|ZIC3_HUMAN,82.143,476,64,8,1,464,1,467,0,752
sp|A0A1D5PRR9|FANCM_CHICK,sp|Q8IYD8|FANCM_HUMAN,44.757,2136,973,53,3,2029,2,2039,0,1604
tr|A0A1D5PU09|A0A1D5PU09_CHICK,sp|Q96AC1|FERM2_HUMAN,93.41,698,28,2,23,720,1,680,0,1302
