"Kinases.ID","Kinases","KS.Ratio","Bg.Ratio","SubstrateNum","Direction","P.val","P.adj","Substrates"
"P30291","WEE1","2/1319","2/115179",2,"greater",0.000131044068841406,0.0241776307012394,"P06493_Y15/P24941_Y15"
"Q99640","PKMYT1","2/1319","2/115179",2,"greater",0.000131044068841406,0.0241776307012394,"P06493_T14/P06493_Y15"
"P68400","CSNK2A1","10/1319","252/115179",10,"greater",0.000741485842200194,0.0514699261471649,"P11387_S10/P29692_S162/P32004_S1181/P42768_S483/P42768_S484/Q13547_S421/Q13547_S423/Q15019_S218/Q16543_S13/Q8IVP5_S13"
"P23443","RPS6KB1","4/1319","37/115179",4,"greater",0.000836909368246584,0.0514699261471649,"P62753_S235/P62753_S236/P62753_S240/P62753_S244"
"Q8TD19","NEK9","2/1319","4/115179",2,"greater",0.000774328310842742,0.0514699261471649,"Q8TDX7_S195/Q9HC98_S206"
"O95382","MAP3K6","2/1319","4/115179",2,"greater",0.000774328310842742,0.0514699261471649,"Q16539_T180/Q16539_Y182"
"P52333","JAK3","2/1319","5/115179",2,"greater",0.00128072805912251,0.0590735817270256,"P42229_Y694/Q15717_Y200"
"P46734","MAP2K3","2/1319","5/115179",2,"greater",0.00128072805912251,0.0590735817270256,"Q16539_T180/Q16539_Y182"
"Q9Y463","DYRK1B","2/1319","6/115179",2,"greater",0.00190648947380691,0.0781660684260831,"Q9Y463_Y271/Q9Y463_Y273"
"P45985","MAP2K4","2/1319","7/115179",2,"greater",0.00264881649451809,0.0888557533161067,"Q16539_T180/Q16539_Y182"
"P52564","MAP2K6","2/1319","7/115179",2,"greater",0.00264881649451809,0.0888557533161067,"Q16539_T180/Q16539_Y182"
"P51812","RPS6KA3","3/1319","26/115179",3,"greater",0.00320030414301129,0.0984093523975971,"P13796_S5/P62753_S235/P62753_S236"
"Q02750","MAP2K1","2/1319","9/115179",2,"greater",0.00447222388377749,0.126942354854915,"P28482_T185/P28482_Y187"
"P08631","HCK","2/1319","10/115179",2,"greater",0.00554795069873907,0.136479587188981,"P42229_Y694/P51692_Y699"
"Q99683","MAP3K5","2/1319","10/115179",2,"greater",0.00554795069873907,0.136479587188981,"Q16539_T180/Q16539_Y182"
"O60674","JAK2","2/1319","13/115179",2,"greater",0.00940007086908658,0.204036832393703,"P28482_Y187/P42229_Y694"
"P07949","RET","2/1319","13/115179",2,"greater",0.00940007086908658,0.204036832393703,"P28482_Y187/Q16539_Y182"
"P30530","AXL","2/1319","14/115179",2,"greater",0.010884033102954,0.223122678610556,"P42229_Y694/P51692_Y699"
"P28482","MAPK1","7/1319","224/115179",7,"greater",0.0153895469788901,0.298881201853182,"C9JLW8_S21/P15336_T71/P19878_T233/P32004_S1248/P41182_S333/P42229_S780/Q15672_S68"
"Q15418","RPS6KA1","3/1319","53/115179",3,"greater",0.0229694054137493,0.385259572621522,"P13796_S5/P62753_S235/P62753_S236"
"P23458","JAK1","1/1319","2/115179",1,"greater",0.0227724366003778,0.385259572621522,"P42229_Y694"
"P11274","BCR","1/1319","2/115179",1,"greater",0.0227724366003778,0.385259572621522,"P63104_T232"
