"query_id","subject_id","perc_identity","num_ident_matches","alig_length","mismatches","gap_openings","n_gaps","pos_match","ppos","q_start","q_end","q_len","qcov","qcovhsp","s_start","s_end","s_len","evalue","bit_score","score_raw"
"A0A0D9S1R0","P02649",92.26,298,323,19,1,6,300,92.88,1,323,323,100,100,1,317,317,0,545,1404
"A0A0D9S1R4","P55056",88.976,113,127,14,0,0,116,91.34,1,127,127,100,100,1,127,127,2.25e-80,231,590
"A0A0D9S1R9","P02655",88.119,89,101,12,0,0,92,91.09,1,101,101,100,100,1,101,101,7.01e-53,160,404
"P0DP84","P02652",92,92,100,8,0,0,98,98,1,100,100,100,100,1,100,100,7.73e-56,167,424
"Q1AL67","P03901",81.633,80,98,18,0,0,86,87.76,1,98,98,100,100,1,98,98,1.43e-50,154,389
"Q9TV43","P51681",96.591,340,352,12,0,0,347,98.58,1,352,352,100,100,1,352,352,0,704,1817
"A0A0D9QUG4","P03891",70.52,244,346,102,0,0,275,79.48,1,346,347,99,99,1,346,347,8.12e-147,417,1073
"A0A0D9QUG7","P03928",50,29,58,29,0,0,37,63.79,1,58,66,88,88,1,58,68,6.01e-11,52,123
"A0A0D9QUH1","P03905",77.56,356,459,103,0,0,404,88.02,1,459,459,100,100,1,459,459,0,656,1693
"A0A0D9QUH5","Q8NB90",96.538,753,780,27,0,0,766,98.21,1,780,789,99,99,1,780,893,0,1542,3992
"A0A0D9QUH6","Q6ZN84",95.552,623,652,28,1,1,635,97.39,1,651,651,100,100,1,652,652,0,1256,3251
"A0A0D9QUH7","A0A1W2PPF3",91.5,183,200,17,0,0,187,93.5,5,204,204,98,98,5,204,345,8.45e-134,378,971
"A0A0D9QUH8","O75973",98.837,255,258,3,0,0,256,99.22,1,258,258,100,100,1,258,258,0,509,1311
"A0A0D9QUH9","P09012",99.645,281,282,1,0,0,281,99.65,1,282,282,100,100,1,282,282,0,569,1466
"A0A0D9QUI0","P49116",62.706,380,606,180,10,46,458,75.58,15,604,604,98,98,21,596,596,0,744,1922
"A0A0D9QUI1","P53370",93.691,297,317,19,1,1,304,95.9,1,317,317,100,100,1,316,316,0,613,1582
"A0A0D9QUI2","Q53FT3",100,197,197,0,0,0,197,100,1,197,197,100,100,1,197,197,1.15e-146,405,1040
"A0A0D9QUI3","Q5BKX5",94.35,334,354,17,1,3,341,96.33,1,354,354,100,100,1,351,351,0,574,1480
"A0A0D9QUI4","Q8WVC6",98.268,227,231,4,0,0,227,98.27,1,231,231,100,100,1,231,231,1.07e-169,466,1198
"A0A0D9QUI5","Q9NYB0",99,396,400,3,1,1,397,99.25,1,400,400,100,100,1,399,399,0,804,2076
"A0A0D9QUI6","Q9UI09",95.172,138,145,7,0,0,141,97.24,1,145,145,100,100,1,145,145,1.18e-103,292,747
"A0A0D9QUI7","O75530",100,441,441,0,0,0,441,100,1,441,441,100,100,1,441,441,0,925,2391
"A0A0D9QUI8","O60551",72.441,368,508,118,5,22,422,83.07,1,496,496,100,100,1,498,498,0,746,1925
"A0A0D9QUI9","Q9ULS5",98.462,448,455,7,0,0,453,99.56,59,513,513,89,89,23,477,477,0,928,2399
"A0A0D9QUJ0","P09038",95.486,275,288,13,0,0,279,96.88,1,288,288,100,100,1,288,288,9.6e-161,448,1152
"A0A0D9QUJ1","Q8N3E9",96.01,770,802,14,3,18,775,96.63,1,798,799,99,99,1,788,789,0,1577,4083
"A0A0D9QUJ2","Q13492",98.485,650,660,2,1,8,652,98.79,1,660,660,100,100,1,652,652,0,1333,3450
"A0A0D9QUJ3","Q96DU7",96.193,657,683,26,0,0,666,97.51,1,683,683,100,100,1,683,683,0,1266,3277
"A0A0D9QUJ4","Q9HBE4",96.129,149,155,6,0,0,151,97.42,1,155,155,100,100,8,162,162,1.61e-110,310,794
"A0A0D9QUJ5","Q9Y592",98.716,692,701,9,0,0,698,99.57,1,701,701,100,100,1,701,701,0,1370,3547
"A0A0D9QUJ6","P60568",97.403,150,154,3,1,1,151,98.05,1,154,154,100,100,1,153,153,1.12e-106,300,768
"A0A0D9QUJ7","Q15046",96.54,558,578,20,0,0,575,99.48,48,625,625,92,92,20,597,597,0,1176,3042
